Input Size	execution time (in microseconds)
10	4.031
10	2.243
10	2.177
10	3.257
10	2.111
10	2.222
10	2.148
10	1.965
10	2.109
10	1.927
10	1.832
10	2.126
10	2.073
10	2.006
10	1.799
10	1.802
10	2.02
10	1.838
10	1.82
10	1.936
10	2.217
10	2.069
10	2.213
10	1.876
10	1.851
100	30.929
100	29.277
100	28.567
100	30.161
100	29.579
100	29.575
100	29.905
100	30.734
100	30.037
100	26.937
100	28.659
100	26.994
100	27.29
100	27.548
100	26.94
100	26.016
100	25.142
100	25.243
100	25.739
100	25.958
100	25.019
100	25.591
100	25.817
100	26.352
100	26.424
1000	306.542
1000	286.928
1000	289.508
1000	279.703
1000	287.51
1000	559.294
1000	292.334
1000	275.723
1000	288.784
1000	284.395
1000	303.157
1000	343.78
1000	399.903
1000	341.731
1000	359.753
1000	390.305
1000	443.053
1000	544.375
1000	478.257
1000	403.097
1000	459.009
1000	315.213
1000	381.239
1000	369.752
1000	246.136
